,@type,datePublished,headline,inLanguage,reviewBody,author_@type,author_image,author_name,author_url,itemReviewed_@type,itemReviewed_name,publisher_@type,publisher_name,publisher_sameAs,reviewRating_@type,reviewRating_ratingValue
21,Review,2020-10-14T03:56:37+00:00,DPG is so professional,en,"DPG is so professional. Sean and Sarah are so amazing, any time you need them they are always there to help and attend to your needs. My facilitator Peter is so adorable. Everyone in DPG is always at hand to solve your problem and they do everything within the community to support your CIPD program. l will highly recommend anyone to them, they are the best.",Person,,Sylvia Mgbeahurike,https://uk.trustpilot.com/users/5f8676d236cf2e001bd4a416,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
22,Review,2020-10-13T12:25:25+00:00,In terms of assistance received on the…,en,"In terms of assistance received on the study options available and to the registration process, it has been easy to understand and self explanatory.",Person,,Vaneshree,https://uk.trustpilot.com/users/5f859cb4eb12ce001a2b152b,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
23,Review,2020-10-13T10:57:45+00:00,The most shocking treatment ever!,en,"The most shocking treatment I have ever received from any company. The ignorance from the company is a joke, two of us have signed up for a course, paid the invoice received  and have emailed several times, we missed the welcome webinar due to being given the wrong date initially and then the lack of response about registering for the webinar we heard no response. The lack of customer service and response is appalling! If I could leave a 0 star review I would.",Person,,Caitlin,https://uk.trustpilot.com/users/5f85882986e56d001ca2a7a1,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
24,Review,2020-10-13T10:47:24+00:00,Could not be more disappointed,en,"Could not be more disappointed, I have registered for a course, paid the invoice that was issued and have heard nothing more since then, initial course start date has been missed due to lack of log in/sign on details being provided.  I am now wondering if I will ever hear from this company again, feeling very sceptical  and rather relieved that I paid on a credit card!",Person,,Julie,https://uk.trustpilot.com/users/5f8585bc55a2c9001abdfeb4,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
25,Review,2020-10-13T09:57:24+00:00,I haven't started the course yet but so…,en,I haven't started the course yet but so far the customer service aspect is very good.,Person,,Izaskun,https://uk.trustpilot.com/users/5f857a03cecc5f001e035989,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
26,Review,2020-10-12T19:23:38+00:00,Thanks!,en,So far so good! Thanks for the helpful welcome webinar.,Person,,Claire,https://uk.trustpilot.com/users/5f84ad3afcafab00195705dd,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
27,Review,2020-10-12T19:01:10+00:00,Very helpful advice,en,"Very helpful advice, easy registration, quick to respond to my queries and not at all pushy. Looking forward to starting this course.",Person,,Kirsa,https://uk.trustpilot.com/users/55c071020000ff0001d17a86,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
28,Review,2020-09-30T13:02:57+00:00,Ok-ish!,en,I liked the demo and course collateral but I found the advice given by the course advisors confusing and they didn’t really answer my questions,Person,,Rachna,https://uk.trustpilot.com/users/5f748200768a8b5322cb68b7,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,3
29,Review,2020-09-29T19:03:41+00:00,Starting CIPD Level 5 HR Management,en,"Haven’t started the course yet but so far the enrolment process was quick, easy and efficient. Looking forward to start the program",Person,,Lena Hodgkinson,https://uk.trustpilot.com/users/5d4202220d75871a2575a391,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
30,Review,2020-09-29T08:33:26+00:00,So far so good,en,So far so good,Person,,Chelsea Roberts,https://uk.trustpilot.com/users/5f339bb9e98e175408193ff6,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
31,Review,2020-09-25T23:21:52+00:00,Very good service and very serious!,en,"Very good service and very serious!
Congrats for your job!",Person,,Vangelitsa ,https://uk.trustpilot.com/users/5f6e7b902c222c1c8e81f3ba,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
32,Review,2020-09-23T09:56:19+00:00,Fast friendly service,en,Fast friendly service. Everything made easy.,Person,,Teresa,https://uk.trustpilot.com/users/5f6b1bc34b28ad95c6a7c741,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
33,Review,2020-09-13T10:35:05+00:00,Highly recommended,en,"Sean who was my programme advisor was very helpful, friendly and professional. I would highly recommend this company.",Person,,Maria,https://uk.trustpilot.com/users/5f5df5d809588eb3a627104c,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
34,Review,2020-09-08T09:51:45+00:00,You are very good,en,"You are very good, but i need whatsapp number to contact easily.",Person,,Mohammed,https://uk.trustpilot.com/users/5f575430ad5bb4cfa608dd05,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
35,Review,2020-09-07T09:35:34+00:00,Very friendly and helpful and good…great,en,Very friendly and helpful and good price too!,Person,,Jessica,https://uk.trustpilot.com/users/5f55fee6a7bc9d7fe2cf64a0,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
36,Review,2020-09-05T11:20:23+00:00,Extremely informative website and very…,en,Extremely informative website and very friendly and helpful sales and admin team. Will definitely recommend this company.,Person,,Philippa ,https://uk.trustpilot.com/users/5f5374766ce9b95a022a01f9,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
37,Review,2020-09-04T11:06:22+00:00,New registration.,en,Simple registration process. Sean and Lisa very helpful. so far so good. 👏,Person,,Mr Little,https://uk.trustpilot.com/users/5be5d7f33adc2f1928368aa9,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
38,Review,2020-09-04T10:32:46+00:00,Efficient and professional service.,en,Efficient and professional service.,Person,,Agni0106,https://uk.trustpilot.com/users/59f638a20000ff000adb8c77,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
39,Review,2020-09-03T11:55:10+00:00,Just started with the course so dont…,en,"Just started with the course so dont have much feedback yet, but enrollment process has been easy and all questions been answered.",Person,https://user-images.trustpilot.com/5d07468eb43f3e923144e898/73x73.png,kadri,https://uk.trustpilot.com/users/5d07468eb43f3e923144e898,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
40,Review,2020-09-03T06:39:27+00:00,"Flexible course, very long waiting time on marking.",en,"I really like the flexibility of the program, doing this on maternity means I have to work around little one and this course allows me to do that.  The downside is the length of time getting back assignments - a minimum of 3 weeks, by which time I'm well onto another section so if there were any referrals, I'd have to go back and start again with it.  My first module was referred as I hadn't added in references, so I had to wait 3 weeks for the referral mark, then another 3 weeks for the new feedback (which I passed) during which time I've submitted another 3 modules.  Just feel this needs to be quicker when we're working so hard to get the work in.  Online facilitators get back to you really quickly but it is a shame you don't get one tutor that you can build a rapport with, it's pot luck who gets back to you, would have liked a bit of continuity - all have been helpful though.",Person,,Emma,https://uk.trustpilot.com/users/535ab8be0000640001701314,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,3
41,Review,2020-08-31T20:06:20+00:00,Great communication and information…,en,Great communication and information provided,Person,,Victoria,https://uk.trustpilot.com/users/5f4d583c184e60119120d2db,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
42,Review,2020-08-31T15:16:36+00:00,Fantastic team,en,"Fantastic team, straight forward, helpful and professional!",Person,,Anja,https://uk.trustpilot.com/users/5f4d145371b48035ff66524c,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
43,Review,2020-08-27T17:13:36+00:00,Great communications,en,Great communications. Very helpful and efficient.,Person,,B Gibson,https://uk.trustpilot.com/users/5cf4f83cee3b914da4b7d43d,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
44,Review,2020-08-26T12:45:53+00:00,it was easy to connect,en,it was easy to connect,Person,,Sushmita,https://uk.trustpilot.com/users/5f465980bc400d85fe244117,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
45,Review,2020-08-26T08:38:23+00:00,The process of enrolling on the course…,en,"The process of enrolling on the course was great! The team we not pushy in trying to make me sign up,which is great as some companies really hound you! Highly recommend.",Person,,Andrew,https://uk.trustpilot.com/users/5f461f7f6e8073f94480be58,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
46,Review,2020-08-25T16:20:54+00:00,The customer service was amazing and …,en,The customer service was amazing and  Roddy was very helpful. Thank you!,Person,,Hind,https://uk.trustpilot.com/users/5f453a6540cc7204cf32a047,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
47,Review,2020-08-25T10:17:07+00:00,"Helpful, reasonably priced",en,"Everyone has been really helpful with all my questions, I never felt pressured to sign up. Was provided with lots of information and then left to make a decision. 

Really good value compared to other courses, plus have been registered for ILM level 5 management on top of the CIPD level 5 HR as a bonus!",Person,,Phoebe,https://uk.trustpilot.com/users/5f44e52240cc72183c32463e,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
48,Review,2020-08-24T13:55:05+00:00,From the initial enquiry they were very…,en,From the initial enquiry they were very helpful. Got all the information I requested promptly. Now started online and have been introduced to a new community.,Person,https://user-images.trustpilot.com/5dffca9b31bb5a01028e4405/73x73.png,Helen Harrison,https://uk.trustpilot.com/users/5dffca9b31bb5a01028e4405,Thing,DPG,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
