,@type,datePublished,headline,inLanguage,reviewBody,author_@type,author_image,author_name,author_url,itemReviewed_@type,itemReviewed_name,publisher_@type,publisher_name,publisher_sameAs,reviewRating_@type,reviewRating_ratingValue
16,Review,2020-06-14T21:39:13+00:00,Issue with certificates,en,"Guys It is Important to be absolutely sure what you get out of the courses you do before paying in this website. Paid for a course did it and passed test. First you have to go through Id verification otherwise your certificate will say the I'd has not been verified. Second my certificate says .... ''The certificate and transcript do not imply
the award of credit or the conferment of a qualification from University
of Leeds and National Institute for Health Research''...the course was clearly by NIHR and University   if Leeds I was not warned or told about this .. Is there any value in this certificate?

Look at this from Futurelearn; 
 
Is FutureLearn accredited?
All certificates state the minimum number of hours required per week and the length of the course, so you can claim that many hours of CPD (Continuing Professional Development) by showing your employer or organisation the certificate.

The majority of learners who purchase them add them to their CV, but it's important to note that certificates do not imply the award of credit points or the conferment of a university qualification.

Where a course or program is accredited this information will be included on the course  .... this is from futurelearn website.

I paid 62 pounds for a non accredited course!!! 
If you want knowledge and scroll courses free.....it may be good for you otherwise it's a ripoff. Unfortunately if YOU HAVE TAKEN THE TEST OR RECIEVED  A DIGITAL  / ORIGINAL PAPER CERTIFICATE you can not claim back the money!!!!

So please ensure that you know what you are paying for. You have been warned.",Person,,Shafiq Chughtai,https://uk.trustpilot.com/users/583421200000ff000a59c082,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
17,Review,2020-06-07T05:13:11+00:00,4 stars for me!,en,"This Reiview is regarding the Song writing course. 

I love how this course was free but their are some areas of improvement. 
- the course is a bit well,...... weird?! its just got too many buttons to press so it can be very confusing ! 
- The course is too long! 
Other than that I've absouloutly loved it. Its an 8 week course and MAYBE I could benefit from doing the whole course but for me I've only done one week and I've already written my song so it seems to be enough for me. I've picked up bits of info to make my song great!",Person,,Ava Zara,https://uk.trustpilot.com/users/5edc7759a64dab847763abf6,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
18,Review,2020-06-02T12:39:00+00:00,Interesting courses,en,They have a range of interesting courses to help you progress professionally or personally. It’s great that they teach you with videos and articles. Only thing i would say is that the certificates can be quite expensive (between £30-£50),Person,https://user-images.trustpilot.com/5eb2ac9ba9a753e0db5700b8/73x73.png,Bethan Griffiths,https://uk.trustpilot.com/users/5eb2ac9ba9a753e0db5700b8,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
19,Review,2020-05-06T06:09:46+00:00,This is a great education platform,en,This is a great education platform. I learnt forensic science and archeology very helpful staff and they have plenty of courses to choose from.,Person,,Michelle-Anne Skordas,https://uk.trustpilot.com/users/5eb25342c66da3051d7e6911,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
20,Review,2020-05-06T03:10:54+00:00,I completed elementary English 😁…,en,"I completed elementary English 😁 course 
 Finally I can write and speak a English some what in properly . Thank future learn",Person,,Syed Saqlain,https://uk.trustpilot.com/users/5eb22ab2cf1437168a97b675,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
21,Review,2020-05-05T23:55:05+00:00,The most learners-friendly platform.,en,"Probably, the most comfortable and learners-friendly platform. I really love the culture and language courses here, especially those ones provided by the British Council. One tip: try not to get behind on your learning, as it is far more interesting to interact with tutors and moderators.",Person,,Inna Stashchuk,https://uk.trustpilot.com/users/5eb1fcd2cf1437719797aa5c,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
22,Review,2020-05-02T21:01:02+00:00,Excellent,en,"Excellent, free education certified by universities. Lots of extra information and links in downloadable resources. Great comments and perspectives from other learners all over the world.",Person,,Heather,https://uk.trustpilot.com/users/5eadde0646f4d00e27f90d95,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
23,Review,2020-05-01T16:46:04+00:00,FutureLearn Review,en,"FutureLearn offer many free online courses. Hope it can offer other courses like Javascript, wordpress and etc in the future. Overall I love FutureLearn so much.",Person,,tan wah hin,https://uk.trustpilot.com/users/5eac5220f79d386ec7d425ed,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
24,Review,2020-04-18T15:46:51+00:00,I did an online book keeping course and…,en,"I did an online book keeping course and upgraded so I could take the test.

The test questions was not explained properly and I got 6 out of the 9 questions right, They deemed this as an average of 48% which is not correct and didn't receive a certificate. 

I paid £44 to sit this test don't waste your money.",Person,,lucy.smith,https://uk.trustpilot.com/users/5e9b20340ebc965bde06859b,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
25,Review,2019-08-14T12:10:35+00:00,I have completed about 4 free courses…,en,"I have completed about 4 free courses on future learn relating to education and environment. I have found all courses professional, well presented and allow for discussion amongst fellow students about the topic presented. I think the topics chosen are up to date and very relevant. My only concern is how well a potential employer may regard the certificate. Whilst it's not a degree or post grad, I think it would be considered as evidence of professional development and have some credence.",Person,,Paul Robert Redfern,https://uk.trustpilot.com/users/5d53fa38750a4745936e503b,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
26,Review,2019-03-26T09:35:26+00:00,I paid for 2 courses.....,en,I paid for 2 courses as I was advised I would obtain credits for the GDP in psychology at Monash if I was to further my education- there was no mentioned of needing a bachelor of psychology at all on that website. I was lucky to discuss this with the enrolment officer at Monash who advised that he has not even heard of future learn at all and told me that they should have advised me I needed a bachelor before I could obtain credits for he GDP!! Rip off don’t do it,Person,,Jettmills6,https://uk.trustpilot.com/users/5c99f25bd2f452056d666411,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
27,Review,2018-09-28T07:51:54+00:00,Unfortunately,en,"Unfortunately , i discovered a trick recently. upon upgrade the  some courses they will denied you to get the certificate with argument (you did not pass the test). The answers consist of   three options of four (true) and the fourth option is partially correct)  and you are not allowed to retake the test and  the payment page there is no instructions on upgrade terms  . 

They do not pay attention for complaints , (no more trust !)",Person,,Learner,https://uk.trustpilot.com/users/5baddd984de5666d340fa8fb,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,1
28,Review,2018-04-29T04:11:02+00:00,So many interesting studies,en,"So many interesting studies, I wish I could learn them all but I lack time. This is a great platform to easily expand your knowledge and won’t cost you anything. I have done over 10 courses here and the quality is pretty high while the information is very easy to understand. Complete with videos and helpful graphics. Especially nice for people like me who are constantly hungry to learn something new.",Person,,Johannes,https://uk.trustpilot.com/users/5a988f7e4de5666d343e44e0,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
29,Review,2017-12-17T12:50:23+00:00,Great Platform,en,"I think this is a great resource. I am glad to have learned about it, and think it will be a good help for everyone. Try it and you will be convinced.",Person,https://user-images.trustpilot.com/5a294ad80000ff000aedad71/73x73.png,Jessica william,https://uk.trustpilot.com/users/5a294ad80000ff000aedad71,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,4
30,Review,2017-05-21T18:31:25+00:00,A great place to learn new skills from top tutors to improve your job prospects and your mind,en,"This is great site with a wide variety of courses run by top industry organisations where you can improve your job prospects and skills or just learn more about your interests or exercise those brain cells.
The courses are mainly free but you can choose to pay for certificates when you pass.
The learning style is fun, easy to follow and can be done at a time that suits you. The courses my daughter has done on it taught her valuable practical skills through her course tasks. The mentors give feedback and help and most sections of the course have a comments answer board which you fill in but where you can also share ideas and chat to other students that you follow.
This is a great educational site for anyone who prefers to work in their own time or needs to fit a course around work.
I hope they bring even more courses and universities on soon, and I am looking forward to starting a course with them too soon.",Person,,Khaulerdavies,https://uk.trustpilot.com/users/5915111b0000ff000a97505f,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
31,Review,2016-11-11T21:33:24+00:00,Exciting and fun introduction to forensic anthropology,en,"For those of us lucky enough to have about four hours a week to spend learning, future learn offers many many courses in all subjects. I've just completed the first week and have really enjoyed the mix of spoken script, video and real life scenario to introduce the subject. And get this, it's free!!!",Person,,Susan Bayliss,https://uk.trustpilot.com/users/5826380a0000ff000a567456,Thing,FutureLearn,Organization,Trustpilot,https://uk.trustpilot.com,Rating,5
